stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Dogs,110,331,0.58509,0.58823,.5-1 y,1.728571429,2
Feist,111,435,0.56419,0.72304,1-1.5 y,2,2
Pentatonix,111,435,0.60407,0.5432,1-1.5 y,2,2
Science,111,435,0.62221,0.61421,1-1.5 y,2,2
Plane,111,435,0.5353,0.54806,1-1.5 y,2,2
Dogs,111,435,0.56198,0.6578,1-1.5 y,2,2
Feist,112,7046,0.64409,0.83218,adult,1.292857143,2
Pentatonix,112,7046,0.54033,0.5454,adult,1.292857143,2
Science,112,7046,0.63066,0.65238,adult,1.292857143,2
Plane,112,7046,0.58676,0.61316,adult,1.292857143,2
Dogs,112,7046,0.46766,0.44176,adult,1.292857143,1
Feist,113,7172,0.59952,0.71805,adult,1.778571429,2
Pentatonix,113,7172,0.60535,0.65259,adult,1.778571429,2
Science,113,7172,0.63335,0.63383,adult,1.778571429,2
Plane,113,7172,0.66092,0.73531,adult,1.778571429,2
Dogs,113,7172,0.68968,0.69054,adult,1.778571429,2
Feist,114,8034,0.66396,0.62494,adult,1.678571429,2
